iter	Passed	Remaining
642	4217	373
643	4223	367
644	4228	360
645	4234	353
646	4239	347
647	4244	340
648	4250	333
649	4255	327
650	4261	320
651	4266	314
652	4270	307
653	4275	300
654	4280	294
655	4285	287
656	4289	280
657	4294	274
658	4299	267
659	4304	260
660	4309	254
661	4315	247
662	4320	241
663	4326	234
664	4331	227
665	4336	221
666	4342	214
667	4347	208
668	4352	201
669	4357	195
670	4362	188
671	4367	181
672	4372	175
673	4379	168
674	4385	162
675	4392	155
676	4399	149
677	4405	142
678	4411	136
679	4417	129
680	4423	123
681	4429	116
682	4434	110
683	4439	103
684	4444	97
685	4450	90
686	4456	84
687	4462	77
688	4468	71
689	4473	64
690	4478	58
691	4484	51
692	4490	45
693	4496	38
694	4502	32
695	4508	25
696	4514	19
697	4520	12
698	4525	6
699	4530	0
